账号ID,密码,职业类型,姓名,头像,服务地区,省份,城市,手机号,微信号,个人简介
lj_021,Pass1234,礼仪师,曾慧,avatar21.png,四川省,四川省,成都市,13800000021,zenghui21,专业礼仪服务，细节到位
lj_022,Pass1234,礼仪师,邓强,avatar22.png,四川省,四川省,成都市,13800000022,dengqiang22,礼仪规范，服务周到
lj_023,Pass1234,礼仪师,蒋丽,avatar23.png,四川省,四川省,绵阳市,13800000023,jiangli23,绵阳本地礼仪师
lj_024,Pass1234,礼仪师,蔡明,avatar24.png,四川省,四川省,达州市,13800000024,caiming24,达州礼仪服务专家
lj_025,Pass1234,礼仪师,贾芳,avatar25.png,四川省,四川省,南充市,13800000025,jiafang25,温馨礼仪服务
lj_026,Pass1234,礼仪师,丁伟,avatar26.png,四川省,四川省,泸州市,13800000026,dingwei26,泸州礼仪师
lj_027,Pass1234,礼仪师,魏静,avatar27.png,四川省,四川省,德阳市,13800000027,weijing27,德阳本地礼仪服务
lj_028,Pass1234,礼仪师,薛峰,avatar28.png,四川省,四川省,广元市,13800000028,xuefeng28,广元礼仪师
lj_029,Pass1234,礼仪师,叶敏,avatar29.png,四川省,四川省,内江市,13800000029,yemin29,内江礼仪服务
lj_030,Pass1234,礼仪师,阎杰,avatar30.png,四川省,四川省,乐山市,13800000030,yanjie30,乐山礼仪师
lj_031,Pass1234,入殓师,潘虹,avatar31.png,全国,四川省,成都市,13800000031,panhong31,专业入殓师，20年经验
lj_032,Pass1234,入殓师,汪涛,avatar32.png,四川省,四川省,成都市,13800000032,wangtao32,入殓技术精湛
lj_033,Pass1234,入殓师,戴丽,avatar33.png,四川省,四川省,绵阳市,13800000033,daili33,绵阳入殓师
lj_034,Pass1234,入殓师,宋强,avatar34.png,四川省,四川省,达州市,13800000034,songqiang34,达州入殓服务
lj_035,Pass1234,入殓师,熊芳,avatar35.png,四川省,四川省,南充市,13800000035,xiongfang35,细致入殓服务
lj_036,Pass1234,入殓师,金伟,avatar36.png,四川省,四川省,泸州市,13800000036,jinwei36,泸州入殓师
lj_037,Pass1234,入殓师,陆静,avatar37.png,四川省,四川省,德阳市,13800000037,lujing37,德阳入殓服务
lj_038,Pass1234,入殓师,郝峰,avatar38.png,四川省,四川省,广元市,13800000038,haofeng38,广元入殓师
lj_039,Pass1234,入殓师,孔敏,avatar39.png,四川省,四川省,内江市,13800000039,kongmin39,内江入殓服务
lj_040,Pass1234,入殓师,白杰,avatar40.png,四川省,四川省,乐山市,13800000040,baijie40,乐山入殓师
