账号ID,密码,职业类型,姓名,头像,服务地区,省份,城市,手机号,微信号,个人简介
lj_081,Pass1234,舞蹈,周婷,avatar81.png,全国,四川省,成都市,13800000081,zhouting81,专业葬礼舞蹈演员，舞姿优雅
lj_082,Pass1234,舞蹈,吴芳,avatar82.png,四川省,四川省,成都市,13800000082,wufang82,传统舞蹈与现代舞蹈结合
lj_083,Pass1234,舞蹈,郑丽,avatar83.png,四川省,四川省,绵阳市,13800000083,zhengli83,绵阳舞蹈服务
lj_084,Pass1234,舞蹈,王娜,avatar84.png,四川省,四川省,达州市,13800000084,wangna84,达州本地舞蹈演员
lj_085,Pass1234,舞蹈,李静,avatar85.png,四川省,四川省,南充市,13800000085,lijing85,南充舞蹈专家
lj_086,Pass1234,舞蹈,张丽,avatar86.png,四川省,四川省,泸州市,13800000086,zhangli86,泸州舞蹈演员
lj_087,Pass1234,舞蹈,刘芳,avatar87.png,四川省,四川省,德阳市,13800000087,liufang87,德阳舞蹈服务
lj_088,Pass1234,舞蹈,陈娜,avatar88.png,四川省,四川省,广元市,13800000088,chenna88,广元地区舞蹈演员
lj_089,Pass1234,舞蹈,杨丽,avatar89.png,四川省,四川省,内江市,13800000089,yangli89,内江舞蹈服务
lj_090,Pass1234,舞蹈,黄婷,avatar90.png,四川省,四川省,乐山市,13800000090,huangting90,乐山舞蹈演员
lj_091,Pass1234,乐队,赵强,avatar91.png,全国,四川省,成都市,13800000091,zhaoqiang91,专业葬礼乐队，乐器齐全
lj_092,Pass1234,乐队,钱伟,avatar92.png,四川省,四川省,成都市,13800000092,qianwei92,乐队演奏，庄严肃穆
lj_093,Pass1234,乐队,孙明,avatar93.png,四川省,四川省,绵阳市,13800000093,sunming93,绵阳乐队服务
lj_094,Pass1234,乐队,李刚,avatar94.png,四川省,四川省,达州市,13800000094,ligang94,达州本地乐队
lj_095,Pass1234,乐队,周杰,avatar95.png,四川省,四川省,南充市,13800000095,zhoujie95,南充乐队专家
lj_096,Pass1234,乐队,吴涛,avatar96.png,四川省,四川省,泸州市,13800000096,wutao96,泸州乐队
lj_097,Pass1234,乐队,郑强,avatar97.png,四川省,四川省,德阳市,13800000097,zhengqiang97,德阳乐队服务
lj_098,Pass1234,乐队,王峰,avatar98.png,四川省,四川省,广元市,13800000098,wangfeng98,广元地区乐队
lj_099,Pass1234,乐队,李明,avatar99.png,四川省,四川省,内江市,13800000099,liming99,内江乐队服务
lj_100,Pass1234,乐队,张涛,avatar100.png,四川省,四川省,乐山市,13800000100,zhangtao100,乐山乐队
lj_101,Pass1234,法事,刘道士,avatar101.png,全国,四川省,成都市,13800000101,liudaoshi101,道教法师，法事经验丰富
lj_102,Pass1234,法事,陈法师,avatar102.png,四川省,四川省,成都市,13800000102,chenfashi102,传统法事，超度亡灵
lj_103,Pass1234,法事,王道士,avatar103.png,四川省,四川省,绵阳市,13800000103,wangdaoshi103,绵阳法事服务
lj_104,Pass1234,法事,李法师,avatar104.png,四川省,四川省,达州市,13800000104,lifashi104,达州本地法师
lj_105,Pass1234,法事,张道士,avatar105.png,四川省,四川省,南充市,13800000105,zhangdaoshi105,南充法事专家
lj_106,Pass1234,法事,赵法师,avatar106.png,四川省,四川省,泸州市,13800000106,zhaofashi106,泸州法师
lj_107,Pass1234,法事,孙道士,avatar107.png,四川省,四川省,德阳市,13800000107,sundaoshi107,德阳法事服务
lj_108,Pass1234,法事,钱法师,avatar108.png,四川省,四川省,广元市,13800000108,qianfashi108,广元地区法师
lj_109,Pass1234,法事,周道士,avatar109.png,四川省,四川省,内江市,13800000109,zhoudaoshi109,内江法事服务
lj_110,Pass1234,法事,吴法师,avatar110.png,四川省,四川省,乐山市,13800000110,wufashi110,乐山法师
lj_111,Pass1234,殡仪馆,张馆长,avatar111.png,全国,四川省,成都市,13800000111,zhangguanzhang111,成都殡仪馆馆长，服务专业
lj_112,Pass1234,殡仪馆,李主任,avatar112.png,四川省,四川省,成都市,13800000112,lizhuren112,殡仪馆服务主任
lj_113,Pass1234,殡仪馆,王经理,avatar113.png,四川省,四川省,绵阳市,13800000113,wangjingli113,绵阳殡仪馆服务
lj_114,Pass1234,殡仪馆,刘主管,avatar114.png,四川省,四川省,达州市,13800000114,liuzhuguan114,达州殡仪馆主管
lj_115,Pass1234,殡仪馆,陈经理,avatar115.png,四川省,四川省,南充市,13800000115,chenjingli115,南充殡仪馆服务
lj_116,Pass1234,殡仪馆,赵主任,avatar116.png,四川省,四川省,泸州市,13800000116,zhaozhuren116,泸州殡仪馆主任
lj_117,Pass1234,殡仪馆,孙馆长,avatar117.png,四川省,四川省,德阳市,13800000117,sunguanzhang117,德阳殡仪馆馆长
lj_118,Pass1234,殡仪馆,钱主管,avatar118.png,四川省,四川省,广元市,13800000118,qianzhuguan118,广元殡仪馆主管
lj_119,Pass1234,殡仪馆,周经理,avatar119.png,四川省,四川省,内江市,13800000119,zhoujingli119,内江殡仪馆服务
lj_120,Pass1234,殡仪馆,吴馆长,avatar120.png,四川省,四川省,乐山市,13800000120,wuguanzhang120,乐山殡仪馆馆长
